person,resident,n_target,b_target
NM,0,0.23076923076923078,0.23076923076923078
MP,0,0.23076923076923078,0.23076923076923078
SA,0,0.23076923076923078,0.23076923076923078
LKC,0,0.038461538461538464,0.038461538461538464
DG,0,0.23076923076923078,0.23076923076923078
MC,1,0.23076923076923078,0.23076923076923078
AK,1,0.23076923076923078,0.23076923076923078
CC,1,0.23076923076923078,0.23076923076923078
KB,1,0.23076923076923078,0.23076923076923078
